inst#,actual,predicted,error,prediction
101,1:lluvioso,1:lluvioso,,0.52
102,3:nublado,3:nublado,,0.84
103,1:lluvioso,1:lluvioso,,0.79
104,3:nublado,3:nublado,,0.87
105,2:parcialmente_nublado,2:parcialmente_nublado,,0.93
106,1:lluvioso,1:lluvioso,,0.99
107,2:parcialmente_nublado,2:parcialmente_nublado,,0.71
108,1:lluvioso,1:lluvioso,,0.68
109,1:lluvioso,1:lluvioso,,0.53
110,3:nublado,3:nublado,,0.87
111,3:nublado,3:nublado,,0.73
112,3:nublado,3:nublado,,0.95
113,1:lluvioso,1:lluvioso,,0.92
114,2:parcialmente_nublado,3:nublado,+,0.66
115,2:parcialmente_nublado,2:parcialmente_nublado,,0.83
116,1:lluvioso,1:lluvioso,,0.57
117,1:lluvioso,1:lluvioso,,0.97
118,2:parcialmente_nublado,1:lluvioso,+,0.51
119,2:parcialmente_nublado,2:parcialmente_nublado,,0.85
120,2:parcialmente_nublado,2:parcialmente_nublado,,0.51
121,1:lluvioso,2:parcialmente_nublado,+,0.68
122,2:parcialmente_nublado,2:parcialmente_nublado,,0.83
123,2:parcialmente_nublado,2:parcialmente_nublado,,0.89
124,2:parcialmente_nublado,3:nublado,+,0.63
125,1:lluvioso,3:nublado,+,0.65
126,2:parcialmente_nublado,1:lluvioso,+,0.56
127,1:lluvioso,1:lluvioso,,0.98
128,3:nublado,2:parcialmente_nublado,+,0.5
129,1:lluvioso,3:nublado,+,0.5
130,2:parcialmente_nublado,2:parcialmente_nublado,,0.77
131,1:lluvioso,1:lluvioso,,0.96
132,1:lluvioso,1:lluvioso,,0.65
133,3:nublado,3:nublado,,0.55
134,3:nublado,3:nublado,,0.6
135,2:parcialmente_nublado,2:parcialmente_nublado,,0.56
136,1:lluvioso,1:lluvioso,,0.97
137,1:lluvioso,1:lluvioso,,0.76
138,1:lluvioso,3:nublado,+,0.55
139,1:lluvioso,1:lluvioso,,0.49
140,1:lluvioso,1:lluvioso,,0.59
141,3:nublado,1:lluvioso,+,0.5
142,3:nublado,2:parcialmente_nublado,+,0.48
143,1:lluvioso,1:lluvioso,,0.66
144,2:parcialmente_nublado,2:parcialmente_nublado,,0.71
145,3:nublado,1:lluvioso,+,0.88
146,1:lluvioso,1:lluvioso,,1
147,2:parcialmente_nublado,3:nublado,+,0.72
148,1:lluvioso,3:nublado,+,0.46
149,2:parcialmente_nublado,2:parcialmente_nublado,,0.94
150,2:parcialmente_nublado,3:nublado,+,0.54
151,2:parcialmente_nublado,2:parcialmente_nublado,,0.93
152,1:lluvioso,1:lluvioso,,0.72
153,2:parcialmente_nublado,2:parcialmente_nublado,,0.66
154,1:lluvioso,1:lluvioso,,0.91
155,1:lluvioso,1:lluvioso,,0.98
156,2:parcialmente_nublado,2:parcialmente_nublado,,0.53
157,1:lluvioso,1:lluvioso,,0.76
158,2:parcialmente_nublado,3:nublado,+,0.83
159,1:lluvioso,1:lluvioso,,0.91
160,1:lluvioso,1:lluvioso,,1
161,2:parcialmente_nublado,3:nublado,+,0.44
162,3:nublado,3:nublado,,0.62
163,2:parcialmente_nublado,2:parcialmente_nublado,,0.88
164,1:lluvioso,1:lluvioso,,0.93
165,1:lluvioso,1:lluvioso,,0.97
166,3:nublado,3:nublado,,0.92
167,3:nublado,3:nublado,,0.57
168,3:nublado,1:lluvioso,+,0.51
169,2:parcialmente_nublado,2:parcialmente_nublado,,0.39
170,1:lluvioso,3:nublado,+,0.62
171,2:parcialmente_nublado,2:parcialmente_nublado,,0.67
172,3:nublado,3:nublado,,0.68
173,1:lluvioso,2:parcialmente_nublado,+,0.58
174,1:lluvioso,1:lluvioso,,0.98
175,2:parcialmente_nublado,2:parcialmente_nublado,,0.85
176,3:nublado,3:nublado,,0.97
177,2:parcialmente_nublado,2:parcialmente_nublado,,0.84
178,1:lluvioso,1:lluvioso,,0.87
179,1:lluvioso,1:lluvioso,,0.86
180,3:nublado,3:nublado,,0.67
181,2:parcialmente_nublado,2:parcialmente_nublado,,0.87
182,3:nublado,3:nublado,,0.67
183,3:nublado,3:nublado,,0.52
184,3:nublado,3:nublado,,0.89
185,3:nublado,3:nublado,,0.61
186,3:nublado,3:nublado,,0.77
187,3:nublado,3:nublado,,0.67
188,2:parcialmente_nublado,2:parcialmente_nublado,,0.7
189,2:parcialmente_nublado,3:nublado,+,0.64
190,2:parcialmente_nublado,2:parcialmente_nublado,,0.54
